True Temperature,True Time,Predicted Temperature,Predicted Time
1000.0,1000.0,875.08527,18920.352
1000.0,1000.0,893.642,24152.695
1000.0,1000.0,855.1028,3839.834
1000.0,1000.0,863.9646,3685.2493
1000.0,1000.0,866.37115,3535.2915
1000.0,1000.0,873.27826,4024.0142
1000.0,1000.0,880.0521,4161.1255
1000.0,1000.0,892.5962,6580.207
1000.0,1000.0,893.392,5622.288
1000.0,1000.0,989.6383,919.0907
1000.0,1000.0,965.6126,1031.2295
1000.0,1000.0,990.5098,859.1676
1000.0,1000.0,988.49066,931.55005
1000.0,1000.0,996.4764,956.4409
1000.0,1000.0,983.6167,924.66174
1000.0,1000.0,1009.54785,918.66846
1000.0,1000.0,1003.186,749.5235
1000.0,1000.0,992.0991,954.9317
1000.0,1000.0,983.84235,1984.6547
1000.0,1000.0,963.45233,1385.2339
1000.0,1000.0,993.9768,1019.87775
1000.0,1000.0,999.8843,1429.5621
1000.0,1000.0,1000.82556,935.5133
1000.0,1000.0,989.96826,1564.3796
1000.0,100.0,861.20795,16053.465
1000.0,100.0,991.47363,23363.19
1000.0,100.0,987.51245,20897.193
1000.0,100.0,947.8266,19710.32
1000.0,100.0,868.07623,14972.149
1000.0,100.0,889.58167,17124.285
1000.0,100.0,1005.38226,544.0288
1000.0,100.0,1001.1432,427.44553
1000.0,100.0,1004.3577,476.71533
1000.0,100.0,989.8893,529.99176
1000.0,100.0,1008.7001,470.6319
1000.0,100.0,1012.70435,501.24207
1000.0,100.0,1008.1463,512.0206
1000.0,100.0,1000.07886,457.64606
1000.0,100.0,1001.72235,460.51123
1000.0,100.0,1017.82715,448.66998
1000.0,100.0,997.29126,542.0053
1000.0,100.0,1002.2723,461.5925
1000.0,16000.0,984.35736,16246.202
1000.0,16000.0,993.1013,16536.22
1000.0,16000.0,1010.6685,16314.881
1000.0,16000.0,962.0135,16186.991
1000.0,16000.0,979.26196,16284.552
1000.0,16000.0,1008.44275,16214.559
1000.0,16000.0,1009.17346,15882.556
1000.0,16000.0,979.7276,16113.305
1000.0,16000.0,970.01373,16145.964
1000.0,16000.0,951.62506,16212.851
1000.0,16000.0,954.356,16067.201
1000.0,16000.0,977.92755,16313.129
1000.0,16000.0,1003.2297,16143.129
1000.0,16000.0,986.87256,18415.002
1000.0,16000.0,967.65814,17175.232
1000.0,16000.0,939.19855,17496.908
1000.0,16000.0,995.9855,15919.4
1000.0,16000.0,999.18756,15951.268
1000.0,16000.0,994.464,15921.387
1000.0,16000.0,995.78455,15950.074
1000.0,16000.0,994.36255,15947.227
1000.0,16000.0,993.6445,15934.633
1000.0,16000.0,1000.0702,15961.128
1000.0,16000.0,994.5428,16029.497
1000.0,16000.0,987.35614,16296.021
1000.0,16000.0,968.4169,16939.564
1000.0,16000.0,993.3929,16143.097
1000.0,16000.0,872.53235,19119.133
1000.0,16000.0,859.7325,16530.895
1000.0,16000.0,860.8282,17282.844
1000.0,16000.0,864.2296,20519.791
1000.0,16000.0,882.35406,16774.803
1000.0,16000.0,881.6602,16870.354
1000.0,16000.0,999.778,15997.906
1000.0,16000.0,998.84155,15990.968
1000.0,16000.0,1001.7703,16035.342
1000.0,16000.0,996.0069,15992.804
1000.0,16000.0,994.652,15996.96
1000.0,16000.0,980.61566,16366.333
1000.0,16000.0,1001.4945,16664.418
1000.0,16000.0,990.1379,16556.768
1000.0,16000.0,998.92957,16284.56
1000.0,16000.0,994.7061,16071.83
1000.0,16000.0,982.52765,16269.054
1000.0,16000.0,913.7353,16330.43
1000.0,16000.0,963.111,16849.76
1000.0,16000.0,903.46533,16867.338
1000.0,16000.0,916.6366,18168.166
1000.0,16000.0,938.87115,16349.83
1000.0,16000.0,946.5677,16503.014
1000.0,16000.0,950.11115,16293.187
1000.0,16000.0,1002.7468,16450.99
1000.0,16000.0,992.9848,16326.153
1000.0,16000.0,1008.7863,16136.158
1000.0,16000.0,1003.5139,16278.005
1000.0,16000.0,1012.6518,16230.525
1000.0,16000.0,988.80646,16349.74
1000.0,16000.0,860.6628,16774.385
1000.0,16000.0,779.043,3889.7166
1000.0,16000.0,794.5499,14841.912
1000.0,16000.0,873.6465,17037.016
1000.0,16000.0,851.6474,16244.327
1000.0,16000.0,834.7858,16053.508
1000.0,16000.0,945.137,22668.027
1000.0,16000.0,997.8836,15885.734
1000.0,16000.0,1001.36707,15898.946
1000.0,16000.0,997.7704,15885.5625
1000.0,16000.0,994.1647,15951.586
1000.0,16000.0,992.6005,15924.727
1000.0,16000.0,973.97565,16852.684
1000.0,16000.0,975.4461,17196.904
1000.0,16000.0,964.1896,17826.326
1000.0,16000.0,994.1689,16070.531
1000.0,16000.0,982.29645,16372.137
1000.0,16000.0,986.77094,16691.676
1000.0,16000.0,987.66425,16110.997
1000.0,16000.0,979.61847,17500.17
1000.0,16000.0,962.5443,21237.072
1000.0,16000.0,967.02545,18166.457
1000.0,16000.0,994.82855,15993.627
1000.0,16000.0,814.84875,16233.854
1000.0,16000.0,801.311,15259.156
1000.0,16000.0,810.55756,14914.316
1000.0,16000.0,823.90576,16240.999
1000.0,16000.0,807.7455,15922.353
1000.0,16000.0,967.93787,17900.596
1000.0,16000.0,937.65326,17947.506
1000.0,16000.0,991.79456,17018.92
1000.0,16000.0,989.1301,16432.79
1000.0,16000.0,994.4543,15939.569
1000.0,16000.0,1000.2688,15963.387
1000.0,16000.0,997.00793,15950.917
1000.0,16000.0,993.5574,15955.189
1000.0,16000.0,993.5936,15952.158
1000.0,16000.0,994.8182,15953.733
1000.0,16000.0,994.0199,15949.808
1000.0,16000.0,1000.9938,16172.172
1000.0,16000.0,998.1571,15589.544
1000.0,16000.0,1006.6647,15754.133
1000.0,16000.0,1003.4825,15372.842
1000.0,16000.0,998.31305,15985.977
1000.0,16000.0,1001.9156,16067.785
1000.0,16000.0,1003.221,16025.032
1000.0,16000.0,986.58795,15895.134
1000.0,16000.0,970.0112,16460.621
1000.0,16000.0,952.8577,16080.159
1000.0,16000.0,932.89374,16334.1
1000.0,16000.0,928.6181,16820.662
1000.0,16000.0,953.5117,16281.109
1000.0,16000.0,920.3973,16337.002
1000.0,16000.0,943.90295,16329.043
1000.0,16000.0,917.4917,16105.888
1000.0,16000.0,937.55756,16237.628
1000.0,16000.0,919.58844,16240.363
1000.0,16000.0,916.4438,14697.914
1000.0,16000.0,883.99133,6566.251
1000.0,16000.0,943.3849,17797.166
1000.0,16000.0,953.1273,8766.741
1000.0,16000.0,961.4667,6734.837
1000.0,16000.0,820.1769,15278.786
1000.0,16000.0,843.9124,13396.34
1000.0,16000.0,772.8122,3525.9338
1000.0,16000.0,790.9494,10284.237
1000.0,16000.0,842.8797,15779.811
1000.0,16000.0,870.6869,16708.201
1000.0,16000.0,861.0794,16349.117
1000.0,16000.0,786.6634,4609.2705
1000.0,16000.0,794.40137,5630.4604
1000.0,16000.0,955.4515,13422.349
1000.0,16000.0,994.596,16181.316
1000.0,16000.0,999.1836,16265.139
1000.0,16000.0,1007.6672,16414.957
1000.0,16000.0,1008.4531,16237.667
1000.0,16000.0,1005.10535,16332.124
1000.0,16000.0,1011.2786,16201.163
1000.0,24000.0,852.6963,16145.647
1000.0,24000.0,861.50775,16182.476
1000.0,24000.0,992.6167,23977.904
1000.0,24000.0,994.3854,23632.588
1000.0,24000.0,997.896,24360.266
1000.0,24000.0,994.08356,24293.465
1000.0,24000.0,938.6365,23447.773
1000.0,24000.0,892.24945,16729.365
1000.0,24000.0,912.7391,17291.543
1000.0,24000.0,910.9628,16185.239
1000.0,24000.0,993.9159,18202.904
