True Temperature,True Time,Predicted Temperature,Predicted Time
1000.0,1000.0,987.10284,788.5431
1000.0,1000.0,996.4764,956.4409
1000.0,1000.0,1000.61456,776.97107
1000.0,1000.0,1009.54785,918.66846
1000.0,1000.0,992.0991,954.9317
1000.0,1000.0,983.84235,1984.6547
1000.0,1000.0,996.5429,1295.3539
1000.0,1000.0,985.7415,1111.1238
1000.0,1000.0,999.11224,934.9533
1000.0,1000.0,1005.7987,676.50854
1000.0,1000.0,1003.7897,707.2736
1000.0,1000.0,995.60223,761.563
1000.0,1000.0,1008.9335,2131.4963
1000.0,1000.0,1005.01746,980.4391
1000.0,1000.0,1001.5808,2018.4728
1000.0,100.0,1013.4377,541.9076
1000.0,100.0,1004.0298,439.28363
1000.0,100.0,1012.70435,501.24207
1000.0,100.0,1003.5597,477.44308
1000.0,100.0,1008.1463,512.0206
1000.0,100.0,1008.6749,501.59372
1000.0,100.0,1004.54877,421.0937
1000.0,100.0,1001.72235,460.51123
1000.0,100.0,1000.10657,460.45697
1000.0,100.0,1001.30945,441.00958
1000.0,100.0,999.82086,523.569
1000.0,100.0,984.24756,680.45776
1000.0,16000.0,982.3718,16221.478
1000.0,16000.0,962.0135,16186.991
1000.0,16000.0,979.1535,16064.413
1000.0,16000.0,956.09686,16189.145
1000.0,16000.0,977.71625,16004.825
1000.0,16000.0,982.1959,16177.17
1000.0,16000.0,1003.28455,16210.082
1000.0,16000.0,994.87933,15826.934
1000.0,16000.0,995.1177,16161.74
1000.0,16000.0,951.62506,16212.851
1000.0,16000.0,944.5199,16327.178
1000.0,16000.0,978.6412,16310.404
1000.0,16000.0,1001.8788,15960.501
1000.0,16000.0,998.596,15994.863
1000.0,16000.0,995.9855,15919.4
1000.0,16000.0,995.78455,15950.074
1000.0,16000.0,995.08826,15942.042
1000.0,16000.0,997.3245,15998.857
1000.0,16000.0,999.36536,16032.074
1000.0,16000.0,993.6445,15934.633
1000.0,16000.0,999.5653,16043.646
1000.0,16000.0,999.1857,15985.957
1000.0,16000.0,999.4811,15968.333
1000.0,16000.0,1002.23346,15996.096
1000.0,16000.0,999.6479,16028.509
1000.0,16000.0,1003.1985,15999.371
1000.0,16000.0,1001.7703,16035.342
1000.0,16000.0,998.814,16018.603
1000.0,16000.0,996.405,15946.642
1000.0,16000.0,1000.8883,16099.871
1000.0,16000.0,993.1505,16518.69
1000.0,16000.0,996.92346,16421.926
1000.0,16000.0,991.849,16347.693
1000.0,16000.0,997.7874,16308.627
1000.0,16000.0,986.027,16521.436
1000.0,16000.0,998.4849,16289.619
1000.0,16000.0,995.2604,16471.92
1000.0,16000.0,997.9535,15811.147
1000.0,16000.0,990.01697,16139.815
1000.0,16000.0,1008.7863,16136.158
1000.0,16000.0,1000.0119,16081.184
1000.0,16000.0,1012.6518,16230.525
1000.0,16000.0,986.4836,16494.975
1000.0,16000.0,988.80646,16349.74
1000.0,16000.0,997.7704,15885.5625
1000.0,16000.0,994.1647,15951.586
1000.0,16000.0,1000.10486,15869.572
1000.0,16000.0,996.981,16017.464
1000.0,16000.0,997.00793,15950.917
1000.0,16000.0,994.6369,15908.618
1000.0,16000.0,996.7743,16033.895
1000.0,16000.0,1003.4825,15372.842
1000.0,16000.0,988.02124,15627.687
1000.0,16000.0,1001.1735,16255.27
1000.0,16000.0,1004.7584,16006.192
1000.0,16000.0,996.8181,16182.589
1000.0,16000.0,999.1836,16265.139
1000.0,16000.0,1008.4531,16237.667
1000.0,16000.0,997.8724,16418.574
1000.0,16000.0,998.2894,16154.754
1000.0,24000.0,993.5433,23935.191
1000.0,24000.0,996.45844,24393.484
1000.0,24000.0,994.08356,24293.465
1000.0,24000.0,990.17633,23885.422
1000.0,24000.0,993.51605,23853.217
1000.0,24000.0,989.0621,23989.73
1000.0,24000.0,980.52985,23551.215
1000.0,24000.0,1000.7359,24653.312
1000.0,24000.0,994.6721,24350.2
1000.0,24000.0,1006.13086,24637.094
1000.0,24000.0,1005.8264,24331.594
1000.0,24000.0,1000.7318,24586.803
1000.0,24000.0,996.0083,24329.844
1000.0,24000.0,1001.52075,24513.14
1000.0,24000.0,1005.001,24558.766
1000.0,24000.0,1002.26306,24436.885
1000.0,24000.0,1009.92676,24599.469
1000.0,24000.0,989.39935,24218.193
1000.0,24000.0,977.36237,23281.143
1000.0,24000.0,995.7573,24478.857
1000.0,24000.0,999.1271,24111.55
1000.0,24000.0,1004.67444,24486.48
1000.0,24000.0,1013.6115,24931.373
1000.0,24000.0,1003.7704,24601.008
1000.0,24000.0,995.04803,24501.098
1000.0,24000.0,992.16675,24403.766
1000.0,3000.0,985.08856,3043.5686
1000.0,3000.0,984.9074,4015.5847
1000.0,3000.0,988.6604,3365.4995
1000.0,3000.0,995.06134,3016.7021
1000.0,3000.0,992.95496,2813.3843
1000.0,3000.0,977.90247,3197.345
1000.0,3000.0,990.66815,2779.2183
1000.0,3000.0,1001.9499,3423.5693
1000.0,3000.0,993.5284,3108.3804
1000.0,3000.0,1009.75745,2898.7747
1000.0,3000.0,1002.479,2529.108
1000.0,3000.0,1000.0304,2703.1099
1000.0,3000.0,1012.13007,3146.6936
1000.0,3000.0,1009.90344,3769.6736
1000.0,3000.0,1005.4428,3555.879
1000.0,300.0,995.46234,563.3096
1000.0,300.0,1003.7647,468.53406
1000.0,300.0,996.8216,430.8725
1000.0,300.0,1006.3316,741.3391
1000.0,300.0,987.90826,1833.3192
1000.0,300.0,1006.0357,525.3371
1000.0,300.0,989.01166,534.1702
1000.0,300.0,996.1592,520.81976
1000.0,300.0,983.8421,850.7735
1000.0,300.0,999.9527,513.4956
1000.0,300.0,1004.98975,533.8992
1000.0,300.0,994.23926,522.93176
1000.0,5000.0,1005.838,4610.4385
1000.0,5000.0,984.78973,5254.3853
1000.0,5000.0,998.1029,4822.2163
1000.0,5000.0,1002.9136,4470.0913
1000.0,5000.0,999.7622,5146.3535
1000.0,5000.0,1001.2446,3065.0222
1000.0,5000.0,1010.4782,4148.648
1000.0,5000.0,999.93713,4150.7197
1000.0,5000.0,987.02936,4828.4717
1000.0,5000.0,991.73505,4830.831
1000.0,5000.0,988.09686,5369.7886
1000.0,5000.0,1007.8386,4829.4844
1000.0,5000.0,1007.2962,4100.95
1000.0,5000.0,989.47217,4846.286
1000.0,5000.0,1004.4726,4771.2847
1000.0,500.0,987.31305,841.319
1000.0,500.0,1004.6153,707.8485
1000.0,500.0,992.408,773.8015
1000.0,500.0,1001.87036,535.22095
1000.0,500.0,997.3063,918.9482
1000.0,500.0,1002.5038,736.6898
1000.0,500.0,988.5681,811.8534
1000.0,500.0,1001.1902,763.53485
1000.0,500.0,994.87225,677.95435
1000.0,500.0,998.1044,664.67615
1000.0,500.0,1003.17914,664.59595
1000.0,500.0,999.7208,523.67505
1000.0,8000.0,996.8829,8094.2354
1000.0,8000.0,995.505,7987.0444
1000.0,8000.0,1000.591,8362.58
1000.0,8000.0,1003.0169,8333.516
1000.0,8000.0,1009.5908,8364.398
1000.0,8000.0,995.4094,8656.577
1000.0,8000.0,997.7392,8401.41
1000.0,8000.0,1002.17523,8100.6533
1000.0,8000.0,1001.06537,8379.563
1000.0,8000.0,1001.11255,8630.514
1000.0,8000.0,990.57904,8060.1504
1000.0,8000.0,992.3894,8599.577
700.0,1000.0,709.3539,1445.2029
700.0,1000.0,713.52203,2257.7444
700.0,1000.0,713.6994,2405.9639
700.0,1000.0,708.13586,1519.651
700.0,1000.0,713.9327,1564.4667
700.0,1000.0,707.2195,1220.7544
700.0,1000.0,708.05896,1221.6082
700.0,1000.0,708.15186,1337.962
700.0,1000.0,710.1966,1336.2411
700.0,1000.0,719.32153,1455.1108
700.0,1000.0,713.7931,863.4605
700.0,1000.0,712.6787,1179.2052
700.0,1000.0,710.263,1042.0518
700.0,1000.0,711.43823,992.9295
700.0,1000.0,707.57794,801.2912
700.0,1000.0,718.79816,1643.8751
700.0,100.0,702.36487,298.59424
700.0,100.0,703.85333,296.22876
700.0,100.0,706.9056,403.24234
700.0,100.0,704.536,343.36768
700.0,100.0,705.28735,353.44257
700.0,100.0,703.50256,321.4781
700.0,100.0,705.2053,346.31952
700.0,100.0,709.0655,578.3864
700.0,100.0,705.1021,349.18118
700.0,100.0,705.78754,373.87823
700.0,100.0,708.3587,366.02844
700.0,100.0,716.0979,607.31165
700.0,16000.0,705.87036,15839.302
700.0,16000.0,702.0751,15646.376
700.0,16000.0,699.83014,15581.093
700.0,16000.0,700.609,15595.994
700.0,16000.0,701.8655,15658.564
700.0,16000.0,706.5916,15844.765
700.0,16000.0,710.5523,15832.305
700.0,16000.0,713.43933,15683.681
700.0,16000.0,703.34143,15612.804
700.0,16000.0,702.9856,15680.179
700.0,16000.0,702.2555,15602.791
700.0,16000.0,699.0467,15638.762
700.0,16000.0,699.84454,15587.535
700.0,16000.0,702.2115,15693.575
700.0,16000.0,702.5461,15934.736
700.0,16000.0,707.3654,16226.548
700.0,16000.0,701.54254,16147.011
700.0,16000.0,704.4091,15683.261
700.0,16000.0,707.70294,15715.638
700.0,16000.0,700.6291,16219.481
700.0,16000.0,704.0487,16401.713
700.0,16000.0,717.34,16390.969
700.0,16000.0,700.7417,16125.807
700.0,16000.0,699.34827,16223.811
700.0,16000.0,703.89764,16488.066
700.0,16000.0,702.0072,16239.479
700.0,16000.0,701.1411,16477.227
700.0,16000.0,707.2731,16369.943
700.0,16000.0,701.7151,16229.652
700.0,16000.0,705.00525,16251.827
700.0,16000.0,704.07324,16344.307
700.0,16000.0,703.51636,16785.764
700.0,16000.0,699.7477,16130.268
700.0,16000.0,703.56195,16132.6
700.0,16000.0,699.4106,16169.32
700.0,16000.0,695.2414,16180.788
700.0,16000.0,698.2551,16199.402
700.0,16000.0,703.8144,16151.176
700.0,16000.0,701.2413,16151.972
700.0,16000.0,689.0127,15978.442
700.0,16000.0,707.00916,16180.216
700.0,16000.0,707.6813,16479.943
700.0,24000.0,705.8767,23994.525
700.0,24000.0,705.8794,23879.133
700.0,24000.0,701.211,24476.576
700.0,24000.0,701.2765,24344.264
700.0,24000.0,701.7662,24346.396
700.0,24000.0,704.0964,24593.086
