True Temperature,True Time,Predicted Temperature,Predicted Time
1000.0,1000.0,876.25946,17763.0
1000.0,1000.0,936.1565,2478.9285
1000.0,1000.0,934.785,1969.7378
1000.0,1000.0,942.67975,1870.387
1000.0,1000.0,928.2581,2409.5557
1000.0,1000.0,904.7342,291.56302
1000.0,1000.0,878.2772,-179.94847
1000.0,1000.0,841.8454,-152.64207
1000.0,1000.0,881.5964,4827.189
1000.0,1000.0,943.28864,2153.578
1000.0,1000.0,964.84283,1353.3939
1000.0,1000.0,961.95575,1189.3053
1000.0,1000.0,967.33435,1236.5645
1000.0,1000.0,965.8781,1235.7294
1000.0,1000.0,943.66394,1593.1194
1000.0,1000.0,966.08,1583.9282
1000.0,1000.0,954.3871,1880.0406
1000.0,1000.0,952.19073,1433.4053
1000.0,1000.0,954.13617,1022.9457
1000.0,1000.0,955.74945,1398.3613
1000.0,1000.0,961.32184,1836.8052
1000.0,1000.0,985.45886,1628.4908
1000.0,1000.0,967.45917,2341.0254
1000.0,1000.0,971.11176,1888.6885
1000.0,100.0,925.0358,1065.3676
1000.0,100.0,908.9459,1717.3574
1000.0,100.0,875.62976,2163.8096
1000.0,100.0,922.34796,1051.523
1000.0,100.0,902.6801,7884.7476
1000.0,100.0,860.6098,2461.4617
1000.0,100.0,920.1226,2037.663
1000.0,100.0,911.3294,1656.5386
1000.0,100.0,957.83075,-19.19749
1000.0,100.0,965.50165,-410.83078
1000.0,100.0,943.1742,-146.75365
1000.0,100.0,951.08514,-61.54051
1000.0,100.0,970.18463,-106.075905
1000.0,100.0,933.3198,134.82423
1000.0,100.0,965.31793,-358.1711
1000.0,100.0,966.085,-193.63011
1000.0,100.0,972.8826,-379.59128
1000.0,100.0,933.5905,-64.23704
1000.0,16000.0,949.7126,15585.087
1000.0,16000.0,939.28815,15357.7295
1000.0,16000.0,948.24286,15925.64
1000.0,16000.0,947.18494,18743.807
1000.0,16000.0,929.80084,15478.979
1000.0,16000.0,927.25543,15844.35
1000.0,16000.0,962.64966,15596.688
1000.0,16000.0,955.3393,15716.449
1000.0,16000.0,947.8714,15714.169
1000.0,16000.0,957.4432,15916.69
1000.0,16000.0,941.08484,15407.826
1000.0,16000.0,946.45844,15601.093
1000.0,16000.0,948.598,16525.488
1000.0,16000.0,962.9288,17349.924
1000.0,16000.0,963.3685,15902.0205
1000.0,16000.0,950.9328,15606.403
1000.0,16000.0,835.1774,15849.446
1000.0,16000.0,849.0846,16104.306
1000.0,16000.0,849.2318,13625.625
1000.0,16000.0,822.6463,16005.765
