True Temperature,True Time,Predicted Temperature,Predicted Time
1000.0,1000.0,915.95557,2088.5842
1000.0,1000.0,915.34576,1696.8816
1000.0,1000.0,907.5658,1833.5167
1000.0,1000.0,917.0429,1854.4623
1000.0,1000.0,934.9262,1574.0066
1000.0,1000.0,929.2879,1769.7616
1000.0,1000.0,896.23334,3643.0
1000.0,1000.0,892.3182,4035.1755
1000.0,1000.0,910.91815,2835.388
1000.0,1000.0,914.4645,3147.0562
1000.0,1000.0,928.25104,2080.07
1000.0,1000.0,917.0008,2022.0077
1000.0,1000.0,933.06366,2271.2498
1000.0,1000.0,924.3014,2084.0652
1000.0,1000.0,921.3576,3544.0945
1000.0,100.0,951.2316,-289.85904
1000.0,100.0,930.9681,6.7700624
1000.0,100.0,926.99677,-114.75734
1000.0,100.0,912.40216,-175.40395
1000.0,100.0,947.265,-153.43349
1000.0,100.0,938.0998,111.13243
1000.0,100.0,912.2854,-179.07637
1000.0,100.0,920.37866,205.51753
1000.0,100.0,914.25226,11.014142
1000.0,100.0,909.02155,192.96269
1000.0,100.0,913.0923,429.61414
1000.0,100.0,897.3183,42.406048
1000.0,16000.0,898.8022,14592.799
1000.0,16000.0,893.6975,14465.901
1000.0,16000.0,890.5454,14955.02
1000.0,16000.0,916.14935,14350.585
1000.0,16000.0,899.28424,14274.58
1000.0,16000.0,893.73517,14227.416
1000.0,16000.0,892.86163,14106.072
1000.0,16000.0,876.81464,18719.723
1000.0,16000.0,876.6227,16489.338
1000.0,16000.0,903.35565,14815.881
1000.0,16000.0,904.1239,14416.096
1000.0,16000.0,818.17957,7743.0967
1000.0,16000.0,824.7388,7618.6562
1000.0,16000.0,820.7369,7737.617
1000.0,16000.0,841.1309,10574.59
1000.0,16000.0,848.1331,9717.842
1000.0,16000.0,845.1646,8023.1963
1000.0,16000.0,837.47595,7971.939
1000.0,16000.0,841.0776,8124.828
1000.0,16000.0,844.95374,8151.0527
1000.0,16000.0,840.94525,7693.079
1000.0,16000.0,831.02454,7604.4307
1000.0,16000.0,847.4407,12891.681
1000.0,16000.0,882.59216,14110.941
1000.0,16000.0,876.18164,14041.835
1000.0,16000.0,862.69055,11773.471
1000.0,16000.0,868.85815,13664.42
1000.0,16000.0,815.6294,8355.061
1000.0,16000.0,867.29553,12662.931
1000.0,16000.0,910.7729,14509.417
1000.0,16000.0,906.36615,14303.503
1000.0,16000.0,898.7334,14751.62
1000.0,16000.0,908.2939,14702.599
1000.0,16000.0,914.00916,14214.096
1000.0,16000.0,906.24896,14469.417
1000.0,16000.0,915.5389,14582.6
1000.0,16000.0,910.5229,14192.625
1000.0,16000.0,886.5095,13932.509
1000.0,16000.0,916.54553,14324.9375
1000.0,16000.0,896.7365,14528.229
1000.0,16000.0,877.7275,13785.723
1000.0,16000.0,840.47156,11078.915
1000.0,16000.0,891.39435,14169.187
1000.0,16000.0,889.2426,14406.066
1000.0,16000.0,893.2785,14377.58
1000.0,16000.0,879.4735,14277.648
1000.0,16000.0,888.2812,14245.689
1000.0,16000.0,902.25037,15576.299
1000.0,16000.0,909.15405,14511.299
1000.0,16000.0,915.1997,14580.809
1000.0,16000.0,921.4585,14303.058
1000.0,16000.0,913.9313,14232.025
1000.0,16000.0,927.7422,14367.039
1000.0,16000.0,914.8911,14278.162
1000.0,16000.0,913.40735,14526.95
1000.0,16000.0,921.45276,14476.957
1000.0,16000.0,902.1231,14241.841
